"用例编号",a,b,c,期望值
47,2,2,1901,Value of day not in the range 1..31
48,2,2,1975,Value of day not in the range 1..31
49,2,2,2049,Value of day not in the range 1..31
50,2,2,2050,Value of day not in the range 1..31
51,2,15,1900,Value of day not in the range 1..31
52,2,15,1901,Value of day not in the range 1..31
53,2,15,1975,Value of day not in the range 1..31
54,2,15,2049,Value of day not in the range 1..31
55,2,15,2050,Value of day not in the range 1..31
56,2,27,1900,Value of day not in the range 1..31
57,2,27,1901,Value of day not in the range 1..31
58,2,27,1975,Value of day not in the range 1..31
59,2,27,2049,Value of day not in the range 1..31
60,2,27,2050,Value of day not in the range 1..31
61,2,28,1900,Value of day not in the range 1..31
62,2,28,1901,Value of day not in the range 1..31
63,2,28,1975,Value of day not in the range 1..31
64,2,28,2049,Value of day not in the range 1..31
65,2,28,2050,Value of day not in the range 1..31
66,2,29,1900,Value of day not in the range 1..31
67,2,29,1901,Value of day not in the range 1..31
68,2,29,1975,Value of day not in the range 1..31
69,2,29,2049,Value of day not in the range 1..31
70,2,29,2050,Value of day not in the range 1..31
71,2,30,1900,Value of day not in the range 1..31
72,2,30,1901,Value of day not in the range 1..31
73,2,30,1975,Value of day not in the range 1..31
74,2,30,2049,Value of day not in the range 1..31
75,2,30,2050,Value of day not in the range 1..31
76,2,31,1900,Value of day not in the range 1..31
77,2,31,1901,Value of day not in the range 1..31
78,2,31,1975,Value of day not in the range 1..31
79,2,31,2049,Value of day not in the range 1..31
80,2,31,2050,Value of day not in the range 1..31
81,6,1,1900,Value of day not in the range 1..31
82,6,1,1901,Value of day not in the range 1..31
83,6,1,1975,Value of day not in the range 1..31
84,6,1,2049,Value of day not in the range 1..31
85,6,1,2050,Value of day not in the range 1..31
86,6,2,1900,Value of day not in the range 1..31
87,6,2,1901,Value of day not in the range 1..31
88,6,2,1975,Value of day not in the range 1..31
89,6,2,2049,Value of day not in the range 1..31
90,6,2,2050,Value of day not in the range 1..31
91,6,15,1900,Value of day not in the range 1..31
92,6,15,1901,Value of day not in the range 1..31
93,6,15,1975,Value of day not in the range 1..31
94,6,15,2049,Value of day not in the range 1..31
95,6,15,2050,Value of day not in the range 1..31
96,6,27,1900,Value of day not in the range 1..31
97,6,27,1901,Value of day not in the range 1..31
98,6,27,1975,Value of day not in the range 1..31
99,6,27,2049,Value of day not in the range 1..31
100,6,27,2050,Value of day not in the range 1..31
101,6,28,1900,Value of day not in the range 1..31
102,6,28,1901,Value of day not in the range 1..31
103,6,28,1975,Value of day not in the range 1..31
104,6,28,2049,Value of day not in the range 1..31
105,6,28,2050,Value of day not in the range 1..31
106,6,29,1900,Value of day not in the range 1..31
107,6,29,1901,Value of day not in the range 1..31
108,6,29,1975,Value of day not in the range 1..31
109,6,29,2049,Value of day not in the range 1..31
110,6,29,2050,Value of day not in the range 1..31
111,6,30,1900,Value of day not in the range 1..31
112,6,30,1901,Value of day not in the range 1..31
113,6,30,1975,Value of day not in the range 1..31
114,6,30,2049,Value of day not in the range 1..31
115,6,30,2050,Value of day not in the range 1..31
116,6,31,1900,Value of day not in the range 1..31
117,6,31,1901,Value of day not in the range 1..31
118,6,31,1975,Value of day not in the range 1..31
119,6,31,2049,Value of day not in the range 1..31
120,6,31,2050,Value of day not in the range 1..31
121,11,1,1900,Value of day not in the range 1..31
122,11,1,1901,Value of day not in the range 1..31
123,11,1,1975,Value of day not in the range 1..31
124,11,1,2049,Value of day not in the range 1..31
125,11,1,2050,Value of day not in the range 1..31
126,11,2,1900,Value of day not in the range 1..31
127,11,2,1901,Value of day not in the range 1..31
128,11,2,1975,Value of day not in the range 1..31
129,11,2,2049,Value of day not in the range 1..31
130,11,2,2050,Value of day not in the range 1..31
131,11,15,1900,Value of day not in the range 1..31
132,11,15,1901,Value of day not in the range 1..31
133,11,15,1975,Value of day not in the range 1..31
134,11,15,2049,Value of day not in the range 1..31
135,11,15,2050,Value of day not in the range 1..31
136,11,27,1900,Value of day not in the range 1..31
137,11,27,1901,Value of day not in the range 1..31
138,11,27,1975,Value of day not in the range 1..31
139,11,27,2049,Value of day not in the range 1..31
140,11,27,2050,Value of day not in the range 1..31
141,11,28,1900,Value of day not in the range 1..31
142,11,28,1901,Value of day not in the range 1..31
143,11,28,1975,Value of day not in the range 1..31
144,11,28,2049,Value of day not in the range 1..31
145,11,28,2050,Value of day not in the range 1..31
146,11,29,1900,Value of day not in the range 1..31
147,11,29,1901,Value of day not in the range 1..31
148,11,29,1975,Value of day not in the range 1..31
149,11,29,2049,Value of day not in the range 1..31
150,11,29,2050,Value of day not in the range 1..31
151,11,30,1900,Value of day not in the range 1..31
152,11,30,1901,Value of day not in the range 1..31
153,11,30,1975,Value of day not in the range 1..31
154,11,30,2049,Value of day not in the range 1..31
155,11,30,2050,Value of day not in the range 1..31
156,11,31,1900,Value of day not in the range 1..31
157,11,31,1901,Value of day not in the range 1..31
158,11,31,1975,Value of day not in the range 1..31
159,11,31,2049,Value of day not in the range 1..31
160,11,31,2050,Value of day not in the range 1..31
161,12,1,1900,Value of day not in the range 1..31
162,12,1,1901,Value of day not in the range 1..31
163,12,1,1975,Value of day not in the range 1..31
164,12,1,2049,Value of day not in the range 1..31
165,12,1,2050,Value of day not in the range 1..31
166,12,2,1900,Value of day not in the range 1..31
167,12,2,1901,Value of day not in the range 1..31
168,12,2,1975,Value of day not in the range 1..31
169,12,2,2049,Value of day not in the range 1..31
170,12,2,2050,Value of day not in the range 1..31
171,12,15,1900,Value of day not in the range 1..31
172,12,15,1901,Value of day not in the range 1..31
173,12,15,1975,Value of day not in the range 1..31
174,12,15,2049,Value of day not in the range 1..31
175,12,15,2050,Value of day not in the range 1..31
176,12,27,1900,Value of day not in the range 1..31
177,12,27,1901,Value of day not in the range 1..31
178,12,27,1975,Value of day not in the range 1..31
179,12,27,2049,Value of day not in the range 1..31
180,12,27,2050,Value of day not in the range 1..31
181,12,28,1900,Value of day not in the range 1..31
182,12,28,1901,Value of day not in the range 1..31
183,12,28,1975,Value of day not in the range 1..31
184,12,28,2049,Value of day not in the range 1..31
185,12,28,2050,Value of day not in the range 1..31
186,12,29,1900,Value of day not in the range 1..31
187,12,29,1901,Value of day not in the range 1..31
188,12,29,1975,Value of day not in the range 1..31
189,12,29,2049,Value of day not in the range 1..31
190,12,29,2050,Value of day not in the range 1..31
191,12,30,1900,Value of day not in the range 1..31
192,12,30,1901,Value of day not in the range 1..31
193,12,30,1975,Value of day not in the range 1..31
194,12,30,2049,Value of day not in the range 1..31
195,12,30,2050,Value of day not in the range 1..31
196,12,31,1900,Value of day not in the range 1..31
197,12,31,1901,Value of day not in the range 1..31
198,12,31,1975,Value of day not in the range 1..31
199,12,31,2049,Value of day not in the range 1..31
200,12,31,2050,Value of day not in the range 1..31
