"用例编号",a,b,c,期望值
199,2,31,1901,Value of day not in the range 1..31
200,2,31,1975,Value of day not in the range 1..31
201,2,31,2049,Value of day not in the range 1..31
202,2,31,2050,Value of day not in the range 1..31
203,2,31,2051,Value of day not in the range 1..31
204,2,32,1899,Value of day not in the range 1..31
205,2,32,1900,Value of day not in the range 1..31
206,2,32,1901,Value of day not in the range 1..31
207,2,32,1975,Value of day not in the range 1..31
208,2,32,2049,Value of day not in the range 1..31
209,2,32,2050,Value of day not in the range 1..31
210,2,32,2051,Value of day not in the range 1..31
211,6,0,1899,Value of day not in the range 1..31
212,6,0,1900,Value of day not in the range 1..31
213,6,0,1901,Value of day not in the range 1..31
214,6,0,1975,Value of day not in the range 1..31
215,6,0,2049,Value of day not in the range 1..31
216,6,0,2050,Value of day not in the range 1..31
217,6,0,2051,Value of day not in the range 1..31
218,6,1,1899,Value of day not in the range 1..31
219,6,1,1900,Value of day not in the range 1..31
220,6,1,1901,Value of day not in the range 1..31
221,6,1,1975,Value of day not in the range 1..31
222,6,1,2049,Value of day not in the range 1..31
223,6,1,2050,Value of day not in the range 1..31
224,6,1,2051,Value of day not in the range 1..31
225,6,2,1899,Value of day not in the range 1..31
226,6,2,1900,Value of day not in the range 1..31
227,6,2,1901,Value of day not in the range 1..31
228,6,2,1975,Value of day not in the range 1..31
229,6,2,2049,Value of day not in the range 1..31
230,6,2,2050,Value of day not in the range 1..31
231,6,2,2051,Value of day not in the range 1..31
232,6,15,1899,Value of day not in the range 1..31
233,6,15,1900,Value of day not in the range 1..31
234,6,15,1901,Value of day not in the range 1..31
235,6,15,1975,Value of day not in the range 1..31
236,6,15,2049,Value of day not in the range 1..31
237,6,15,2050,Value of day not in the range 1..31
238,6,15,2051,Value of day not in the range 1..31
239,6,27,1899,Value of day not in the range 1..31
240,6,27,1900,Value of day not in the range 1..31
241,6,27,1901,Value of day not in the range 1..31
242,6,27,1975,Value of day not in the range 1..31
243,6,27,2049,Value of day not in the range 1..31
244,6,27,2050,Value of day not in the range 1..31
245,6,27,2051,Value of day not in the range 1..31
246,6,28,1899,Value of day not in the range 1..31
247,6,28,1900,Value of day not in the range 1..31
248,6,28,1901,Value of day not in the range 1..31
249,6,28,1975,Value of day not in the range 1..31
250,6,28,2049,Value of day not in the range 1..31
251,6,28,2050,Value of day not in the range 1..31
252,6,28,2051,Value of day not in the range 1..31
253,6,29,1899,Value of day not in the range 1..31
254,6,29,1900,Value of day not in the range 1..31
255,6,29,1901,Value of day not in the range 1..31
256,6,29,1975,Value of day not in the range 1..31
257,6,29,2049,Value of day not in the range 1..31
258,6,29,2050,Value of day not in the range 1..31
259,6,29,2051,Value of day not in the range 1..31
260,6,30,1899,Value of day not in the range 1..31
261,6,30,1900,Value of day not in the range 1..31
262,6,30,1901,Value of day not in the range 1..31
263,6,30,1975,Value of day not in the range 1..31
264,6,30,2049,Value of day not in the range 1..31
265,6,30,2050,Value of day not in the range 1..31
266,6,30,2051,Value of day not in the range 1..31
267,6,31,1899,Value of day not in the range 1..31
268,6,31,1900,Value of day not in the range 1..31
269,6,31,1901,Value of day not in the range 1..31
270,6,31,1975,Value of day not in the range 1..31
271,6,31,2049,Value of day not in the range 1..31
272,6,31,2050,Value of day not in the range 1..31
273,6,31,2051,Value of day not in the range 1..31
274,6,32,1899,Value of day not in the range 1..31
275,6,32,1900,Value of day not in the range 1..31
276,6,32,1901,Value of day not in the range 1..31
277,6,32,1975,Value of day not in the range 1..31
278,6,32,2049,Value of day not in the range 1..31
279,6,32,2050,Value of day not in the range 1..31
280,6,32,2051,Value of day not in the range 1..31
281,11,0,1899,Value of day not in the range 1..31
282,11,0,1900,Value of day not in the range 1..31
283,11,0,1901,Value of day not in the range 1..31
284,11,0,1975,Value of day not in the range 1..31
285,11,0,2049,Value of day not in the range 1..31
286,11,0,2050,Value of day not in the range 1..31
287,11,0,2051,Value of day not in the range 1..31
288,11,1,1899,Value of day not in the range 1..31
289,11,1,1900,Value of day not in the range 1..31
290,11,1,1901,Value of day not in the range 1..31
291,11,1,1975,Value of day not in the range 1..31
292,11,1,2049,Value of day not in the range 1..31
293,11,1,2050,Value of day not in the range 1..31
294,11,1,2051,Value of day not in the range 1..31
295,11,2,1899,Value of day not in the range 1..31
296,11,2,1900,Value of day not in the range 1..31
297,11,2,1901,Value of day not in the range 1..31
298,11,2,1975,Value of day not in the range 1..31
299,11,2,2049,Value of day not in the range 1..31
300,11,2,2050,Value of day not in the range 1..31
301,11,2,2051,Value of day not in the range 1..31
302,11,15,1899,Value of day not in the range 1..31
303,11,15,1900,Value of day not in the range 1..31
304,11,15,1901,Value of day not in the range 1..31
305,11,15,1975,Value of day not in the range 1..31
306,11,15,2049,Value of day not in the range 1..31
307,11,15,2050,Value of day not in the range 1..31
308,11,15,2051,Value of day not in the range 1..31
309,11,27,1899,Value of day not in the range 1..31
310,11,27,1900,Value of day not in the range 1..31
311,11,27,1901,Value of day not in the range 1..31
312,11,27,1975,Value of day not in the range 1..31
313,11,27,2049,Value of day not in the range 1..31
314,11,27,2050,Value of day not in the range 1..31
315,11,27,2051,Value of day not in the range 1..31
316,11,28,1899,Value of day not in the range 1..31
317,11,28,1900,Value of day not in the range 1..31
318,11,28,1901,Value of day not in the range 1..31
319,11,28,1975,Value of day not in the range 1..31
320,11,28,2049,Value of day not in the range 1..31
321,11,28,2050,Value of day not in the range 1..31
322,11,28,2051,Value of day not in the range 1..31
323,11,29,1899,Value of day not in the range 1..31
324,11,29,1900,Value of day not in the range 1..31
325,11,29,1901,Value of day not in the range 1..31
326,11,29,1975,Value of day not in the range 1..31
327,11,29,2049,Value of day not in the range 1..31
328,11,29,2050,Value of day not in the range 1..31
329,11,29,2051,Value of day not in the range 1..31
330,11,30,1899,Value of day not in the range 1..31
331,11,30,1900,Value of day not in the range 1..31
332,11,30,1901,Value of day not in the range 1..31
333,11,30,1975,Value of day not in the range 1..31
334,11,30,2049,Value of day not in the range 1..31
335,11,30,2050,Value of day not in the range 1..31
336,11,30,2051,Value of day not in the range 1..31
337,11,31,1899,Value of day not in the range 1..31
338,11,31,1900,Value of day not in the range 1..31
339,11,31,1901,Value of day not in the range 1..31
340,11,31,1975,Value of day not in the range 1..31
341,11,31,2049,Value of day not in the range 1..31
342,11,31,2050,Value of day not in the range 1..31
343,11,31,2051,Value of day not in the range 1..31
344,11,32,1899,Value of day not in the range 1..31
345,11,32,1900,Value of day not in the range 1..31
346,11,32,1901,Value of day not in the range 1..31
347,11,32,1975,Value of day not in the range 1..31
348,11,32,2049,Value of day not in the range 1..31
349,11,32,2050,Value of day not in the range 1..31
350,11,32,2051,Value of day not in the range 1..31
351,12,0,1899,Value of day not in the range 1..31
352,12,0,1900,Value of day not in the range 1..31
353,12,0,1901,Value of day not in the range 1..31
354,12,0,1975,Value of day not in the range 1..31
355,12,0,2049,Value of day not in the range 1..31
356,12,0,2050,Value of day not in the range 1..31
357,12,0,2051,Value of day not in the range 1..31
358,12,1,1899,Value of day not in the range 1..31
359,12,1,1900,Value of day not in the range 1..31
360,12,1,1901,Value of day not in the range 1..31
361,12,1,1975,Value of day not in the range 1..31
362,12,1,2049,Value of day not in the range 1..31
363,12,1,2050,Value of day not in the range 1..31
364,12,1,2051,Value of day not in the range 1..31
365,12,2,1899,Value of day not in the range 1..31
366,12,2,1900,Value of day not in the range 1..31
367,12,2,1901,Value of day not in the range 1..31
368,12,2,1975,Value of day not in the range 1..31
369,12,2,2049,Value of day not in the range 1..31
370,12,2,2050,Value of day not in the range 1..31
371,12,2,2051,Value of day not in the range 1..31
372,12,15,1899,Value of day not in the range 1..31
373,12,15,1900,Value of day not in the range 1..31
374,12,15,1901,Value of day not in the range 1..31
375,12,15,1975,Value of day not in the range 1..31
376,12,15,2049,Value of day not in the range 1..31
377,12,15,2050,Value of day not in the range 1..31
378,12,15,2051,Value of day not in the range 1..31
379,12,27,1899,Value of day not in the range 1..31
380,12,27,1900,Value of day not in the range 1..31
381,12,27,1901,Value of day not in the range 1..31
382,12,27,1975,Value of day not in the range 1..31
383,12,27,2049,Value of day not in the range 1..31
384,12,27,2050,Value of day not in the range 1..31
385,12,27,2051,Value of day not in the range 1..31
386,12,28,1899,Value of day not in the range 1..31
387,12,28,1900,Value of day not in the range 1..31
388,12,28,1901,Value of day not in the range 1..31
389,12,28,1975,Value of day not in the range 1..31
390,12,28,2049,Value of day not in the range 1..31
391,12,28,2050,Value of day not in the range 1..31
392,12,28,2051,Value of day not in the range 1..31
393,12,29,1899,Value of day not in the range 1..31
394,12,29,1900,Value of day not in the range 1..31
395,12,29,1901,Value of day not in the range 1..31
396,12,29,1975,Value of day not in the range 1..31
397,12,29,2049,Value of day not in the range 1..31
398,12,29,2050,Value of day not in the range 1..31
399,12,29,2051,Value of day not in the range 1..31
400,12,30,1899,Value of day not in the range 1..31
401,12,30,1900,Value of day not in the range 1..31
402,12,30,1901,Value of day not in the range 1..31
403,12,30,1975,Value of day not in the range 1..31
404,12,30,2049,Value of day not in the range 1..31
405,12,30,2050,Value of day not in the range 1..31
406,12,30,2051,Value of day not in the range 1..31
407,12,31,1899,Value of day not in the range 1..31
408,12,31,1900,Value of day not in the range 1..31
409,12,31,1901,Value of day not in the range 1..31
410,12,31,1975,Value of day not in the range 1..31
411,12,31,2049,Value of day not in the range 1..31
412,12,31,2050,Value of day not in the range 1..31
413,12,31,2051,Value of day not in the range 1..31
414,12,32,1899,Value of day not in the range 1..31
415,12,32,1900,Value of day not in the range 1..31
416,12,32,1901,Value of day not in the range 1..31
417,12,32,1975,Value of day not in the range 1..31
418,12,32,2049,Value of day not in the range 1..31
419,12,32,2050,Value of day not in the range 1..31
420,12,32,2051,Value of day not in the range 1..31
421,13,0,1899,Value of day not in the range 1..31
422,13,0,1900,Value of day not in the range 1..31
423,13,0,1901,Value of day not in the range 1..31
424,13,0,1975,Value of day not in the range 1..31
425,13,0,2049,Value of day not in the range 1..31
426,13,0,2050,Value of day not in the range 1..31
427,13,0,2051,Value of day not in the range 1..31
428,13,1,1899,Value of day not in the range 1..31
429,13,1,1900,Value of day not in the range 1..31
430,13,1,1901,Value of day not in the range 1..31
431,13,1,1975,Value of day not in the range 1..31
432,13,1,2049,Value of day not in the range 1..31
433,13,1,2050,Value of day not in the range 1..31
434,13,1,2051,Value of day not in the range 1..31
435,13,2,1899,Value of day not in the range 1..31
436,13,2,1900,Value of day not in the range 1..31
437,13,2,1901,Value of day not in the range 1..31
438,13,2,1975,Value of day not in the range 1..31
439,13,2,2049,Value of day not in the range 1..31
440,13,2,2050,Value of day not in the range 1..31
441,13,2,2051,Value of day not in the range 1..31
442,13,15,1899,Value of day not in the range 1..31
443,13,15,1900,Value of day not in the range 1..31
444,13,15,1901,Value of day not in the range 1..31
445,13,15,1975,Value of day not in the range 1..31
446,13,15,2049,Value of day not in the range 1..31
447,13,15,2050,Value of day not in the range 1..31
448,13,15,2051,Value of day not in the range 1..31
449,13,27,1899,Value of day not in the range 1..31
450,13,27,1900,Value of day not in the range 1..31
451,13,27,1901,Value of day not in the range 1..31
452,13,27,1975,Value of day not in the range 1..31
453,13,27,2049,Value of day not in the range 1..31
454,13,27,2050,Value of day not in the range 1..31
455,13,27,2051,Value of day not in the range 1..31
456,13,28,1899,Value of day not in the range 1..31
457,13,28,1900,Value of day not in the range 1..31
458,13,28,1901,Value of day not in the range 1..31
459,13,28,1975,Value of day not in the range 1..31
460,13,28,2049,Value of day not in the range 1..31
461,13,28,2050,Value of day not in the range 1..31
462,13,28,2051,Value of day not in the range 1..31
463,13,29,1899,Value of day not in the range 1..31
464,13,29,1900,Value of day not in the range 1..31
465,13,29,1901,Value of day not in the range 1..31
466,13,29,1975,Value of day not in the range 1..31
467,13,29,2049,Value of day not in the range 1..31
468,13,29,2050,Value of day not in the range 1..31
469,13,29,2051,Value of day not in the range 1..31
470,13,30,1899,Value of day not in the range 1..31
471,13,30,1900,Value of day not in the range 1..31
472,13,30,1901,Value of day not in the range 1..31
473,13,30,1975,Value of day not in the range 1..31
474,13,30,2049,Value of day not in the range 1..31
475,13,30,2050,Value of day not in the range 1..31
476,13,30,2051,Value of day not in the range 1..31
477,13,31,1899,Value of day not in the range 1..31
478,13,31,1900,Value of day not in the range 1..31
479,13,31,1901,Value of day not in the range 1..31
480,13,31,1975,Value of day not in the range 1..31
481,13,31,2049,Value of day not in the range 1..31
482,13,31,2050,Value of day not in the range 1..31
483,13,31,2051,Value of day not in the range 1..31
484,13,32,1899,Value of day not in the range 1..31
485,13,32,1900,Value of day not in the range 1..31
486,13,32,1901,Value of day not in the range 1..31
487,13,32,1975,Value of day not in the range 1..31
488,13,32,2049,Value of day not in the range 1..31
489,13,32,2050,Value of day not in the range 1..31
490,13,32,2051,Value of day not in the range 1..31
